ID;Name
1;Boreal coniferous forest
2;Boreal mountain system
3;Boreal tundra woodland
5;Polar
6;Subtropical desert
7;Subtropical dry forest
8;Subtropical humid forest
9;Subtropical mountain system
10;Subtropical steppe
11;Temperate continental forest
12;Temperate desert
13;Temperate mountain system
14;Temperate oceanic forest
15;Temperate steppe
16;Tropical desert
17;Tropical dry forest
18;Tropical moist deciduous forest
19;Tropical mountain system
20;Tropical rainforest
21;Tropical shrubland
22;Water
