ID;Name
1;Boreal desert
2;Boreal dry bush
3;Boreal moist forest
4;Boreal rain forest
5;Boreal wet forest
6;Cool temperate desert
7;Cool temperate desert bush
8;Cool temperate moist forest
9;Cool temperate rain forest
10;Cool temperate steppe
11;Cool temperate wet forest
12;Ice
13;Polar desert
14;Polar dry tundra
15;Polar moist tundra
16;Polar rain tundra
17;Polar wet tundra
18;Subtropical desert
19;Subtropical desert bush
20;Subtropical dry forest
21;Subtropical moist forest
22;Subtropical rain forest
23;Subtropical thorn steppe
24;Subtropical wet forest
25;Tropical desert
26;Tropical desert bush
27;Tropical dry forest
28;Tropical moist forest
29;Tropical thorn steppe
30;Tropical very dry forest
31;Tropical wet forest
32;Warm temperate desert
33;Warm temperate desert bush
34;Warm temperate dry forest
35;Warm temperate moist forest
36;Warm temperate rain forest
37;Warm temperate thorn steppe
38;Warm temperate wet forest
