ID;Name
1;Tundra
2;Snow, ice, glaciers, and rock
3;Boreal forest/taigas
4;Water
5;Temperate coniferous forests
6;Temperate grasslands, savannas, and shrublands
7;Temperate broadleaf and mixed forests
8;Deserts and xeric shrublands
9;Mediterranean scrub
10;Tropical and subtropical coniferous forests
11;Flooded grasslands
12;Tropical and subtropical moist broadleaf forests
13;Mangroves
14;Tropical and subtropical dry broadleaf forests
15;Tropical and subtropical grasslands, savannas, and shrublands
16;Montane grasslands
